feature,component,target_lag_candidate_id,target_lags,target_lag_strategy,target_lag_preset,target_lag_source,acf_value,pacf_value,significance_threshold,selected_for_target_lags,target_lag_selection_fallback,lag_spec,exog_lags,n_train,n_val,Val RMSE,Val MAE,Val MAPE,Val Directional_Accuracy,target_lag,selected_ic,exog_lag,AIC,BIC,selected_score,nobs,rank_within_feature,selected_for_ffnn_grid,combo_rank,combo_score_sum,combo_source,lag_spec_strategy
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3, 4, 5], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3, 4, 5), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,2.0,-4992.979926403781,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,3.0,-4992.557606038296,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5], US_Sentiment:[1, 2, 3, 4, 5], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5), 'US_Sentiment': (1, 2, 3, 4, 5), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,4.0,-4992.297408856845,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5, 6], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5, 6), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,5.0,-4992.147815941527,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5, 6], US_Sentiment:[1, 2, 3, 4, 5], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5, 6), 'US_Sentiment': (1, 2, 3, 4, 5), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,6.0,-4991.887618760077,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3, 4], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3, 4), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,7.0,-4991.080687480983,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5)}",,,,,,,,aic,,,,,,,,8.0,-4990.9466144969965,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3, 4, 5], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3, 4, 5), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5)}",,,,,,,,aic,,,,,,,,9.0,-4990.686417315546,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5], US_Sentiment:[1, 2, 3, 4], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5), 'US_Sentiment': (1, 2, 3, 4), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,10.0,-4990.398169934047,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5)}",,,,,,,,aic,,,,,,,,11.0,-4990.264096950061,full_product,full_product
