date,split,component,actual_raw_transformed,predicted_raw_transformed,actual_level,predicted_level
2025-03-01,test,raw_no_vmd,0.26801912030960295,0.13714792391155162,11843077.140000006,10390295.99205563
2025-04-01,test,raw_no_vmd,0.013791260721308873,-0.0019196372908242207,12007539.570000017,11820364.534440918
2025-05-01,test,raw_no_vmd,0.13445838212091488,-0.08758651431831277,13735629.250000006,11000582.607054006
2025-06-01,test,raw_no_vmd,0.002299227450489383,-0.06205017796145358,13767246.919999983,12909235.096029203
2025-07-01,test,raw_no_vmd,0.03180734201207258,-0.09016256924031028,14212185.089999977,12580270.96417424
2025-08-01,test,raw_no_vmd,-0.020133657730841747,0.03678663005030906,13928903.140000004,14744738.858900763
2025-09-01,test,raw_no_vmd,-0.015653354809114006,-0.04263088552373242,13712566.69000002,13347580.845097495
2025-10-01,test,raw_no_vmd,-0.022804299333234468,-0.01046107845355411,13403399.780000003,13569866.156153403
2025-11-01,test,raw_no_vmd,-0.0601797333208296,-0.03202686167393914,12620577.999999985,12980932.214917073
2025-12-01,test,raw_no_vmd,0.13166214702282986,0.009224669835041645,14396581.800000003,12737537.291218346
2026-01-01,test,raw_no_vmd,-0.03526523774703705,-0.02037910450839888,13897730.669999987,14106161.657233207
2026-02-01,test,raw_no_vmd,-0.3347205483677236,-0.09838763867449446,9944354.64000001,12595478.835458143
2026-03-01,test,raw_no_vmd,0.42366998853572824,0.3461853155847221,15190572.510000004,14057981.782534972
2020-10-01,validation,raw_no_vmd,-0.017511510173097378,0.06000435657486039,7622404.360000007,8236765.40967459
2020-11-01,validation,raw_no_vmd,-0.08302994751314685,-0.05653480101987515,7015078.510000002,7203428.200895569
2020-12-01,validation,raw_no_vmd,0.09289051242615898,0.1168408665109413,7697937.359999999,7884531.26108924
2021-01-01,validation,raw_no_vmd,-0.22435968393485695,-0.10866257631408738,6150865.069999998,6905304.20284793
2021-02-01,validation,raw_no_vmd,0.11150233060067194,0.13730186717354803,6876398.660000002,7056114.888026746
2021-03-01,validation,raw_no_vmd,0.11790935446257045,0.03610741161379087,7736925.75,7129224.59408572
2021-04-01,validation,raw_no_vmd,0.018257745621006904,0.0815993807805489,7879481.990000002,8394727.242732825
2021-05-01,validation,raw_no_vmd,-0.026428527548890912,-0.0828158920867599,7673966.5799999945,7253225.542296543
2021-06-01,validation,raw_no_vmd,0.05448237206710793,-0.07621359811602631,8103661.600000002,7110837.571205959
2021-07-01,validation,raw_no_vmd,0.06812666100404563,-0.02400307951606145,8674976.959999995,7911464.653273933
2021-08-01,validation,raw_no_vmd,0.039234300062261696,-0.015671594217441534,9022098.620000003,8540085.980330376
2021-09-01,validation,raw_no_vmd,-0.1058497809460004,0.042903490015134625,8115916.950000001,9417601.704039482
2021-10-01,validation,raw_no_vmd,0.10507979669976386,0.07042806127203513,9015154.419999998,8708114.135960683
2021-11-01,validation,raw_no_vmd,-0.04374756769199806,-0.05884499704697568,8629265.730000008,8499964.514226418
2021-12-01,validation,raw_no_vmd,0.05766110339446584,0.03534937144385676,9141463.759999994,8939760.413928868
2022-01-01,validation,raw_no_vmd,0.06315286941362075,-0.07304848197761182,9737392.689999985,8497500.313339895
2022-02-01,validation,raw_no_vmd,-0.4065003982432369,-0.07518230900313386,6484877.9200000055,9032155.848533796
2022-03-01,validation,raw_no_vmd,0.406385601172337,0.3697312478320481,9736274.929999987,9385859.427590635
2022-04-01,validation,raw_no_vmd,0.05095998495557197,0.0037806410844509596,10245295.029999994,9773153.9602716
2022-05-01,validation,raw_no_vmd,-0.056192962400160695,-0.009241680480016116,9685458.300000003,10151047.460665714
2022-06-01,validation,raw_no_vmd,0.10061080422327251,-0.04612227403234803,10710626.939999996,9248888.131559154
2022-07-01,validation,raw_no_vmd,-0.030748018348262462,-0.06116759454273653,10386308.020000016,10075118.061415957
2022-08-01,validation,raw_no_vmd,-0.03627443655287266,0.011328258848186428,10016302.000000007,10504635.763975454
2022-09-01,validation,raw_no_vmd,-0.20427419308441586,-0.00911276503357987,8165678.1000000015,9925440.422252985
2022-10-01,validation,raw_no_vmd,0.0049184292646273775,0.07027830739367068,8205939.339999999,8760194.255340671
2022-11-01,validation,raw_no_vmd,-0.04531648223019147,-0.04813098254716218,7842374.979999997,7820333.645354528
2022-12-01,validation,raw_no_vmd,0.04121610223450389,-0.03569973356118024,8172360.759999996,7567342.780278433
2023-01-01,validation,raw_no_vmd,-0.28416508812979835,0.026495222962507343,6150865.069999998,8391783.268601652
2023-02-01,validation,raw_no_vmd,0.11150233060067194,0.22079117002687468,6876398.660000002,7670516.119106979
2023-03-01,validation,raw_no_vmd,0.11790935446257045,0.016586198526936487,7736925.75,6991403.079911967
2023-04-01,validation,raw_no_vmd,0.018257745621006904,0.06728859430710546,7879481.990000002,8275447.621935968
2023-05-01,validation,raw_no_vmd,-0.026428527548890912,-0.061177476188354965,7673966.5799999945,7411884.223892015
2023-06-01,validation,raw_no_vmd,0.05448237206710793,0.050448290436534496,8103661.600000002,8071036.617764225
