feature,component,target_lag_candidate_id,target_lags,target_lag_strategy,target_lag_preset,target_lag_source,acf_value,pacf_value,significance_threshold,selected_for_target_lags,target_lag_selection_fallback,lag_spec,exog_lags,n_train,n_val,Val RMSE,Val MAE,Val MAPE,Val Directional_Accuracy,target_lag,selected_ic,exog_lag,AIC,BIC,selected_score,nobs,rank_within_feature,selected_for_ffnn_grid,combo_rank,combo_score_sum,combo_source,lag_spec_strategy
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,4.0,-314.8129104217403,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,5.0,-314.6559929666902,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1,), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,6.0,-314.57183907057623,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (1, 2, 3), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,7.0,-314.28099633320244,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (1, 2, 3), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,8.0,-314.19808925891255,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,9.0,-314.0840008078078,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,10.0,-314.0010937335179,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1,), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,11.0,-313.9998469116938,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2, 3], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1,), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2, 3), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,12.0,-313.95701790774854,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1,), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,13.0,-313.91693983740396,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1,), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,14.0,-313.76002238235384,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2, 3], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1,), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2, 3), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,15.0,-313.3850257488661,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2, 3], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1,), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2, 3), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,16.0,-313.30211867457626,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1,), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,17.0,-313.1880302234714,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1,), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,18.0,-313.10512314918157,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1,), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,19.0,-312.7598552953226,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1,), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,20.0,-312.18786313644017,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1,), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,21.0,-312.14503413249486,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1,), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,22.0,-312.10495606215034,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1,), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,23.0,-311.9480386071002,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1, 2, 3], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1, 2, 3), 'PCE': (1,), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,24.0,-311.64732357688933,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1,), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,25.0,-311.5730419736125,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1,), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,26.0,-311.4901348993226,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1,), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,27.0,-311.3760464482178,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1, 2], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1, 2), 'PCE': (1,), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,28.0,-311.3312160362852,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1,), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,29.0,-311.29313937392794,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1, 2, 3], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1, 2, 3), 'PCE': (1,), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,30.0,-311.0753314180069,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1, 2, 3], PCE:[1], US_Sentiment:[1, 2, 3], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1, 2, 3), 'PCE': (1,), 'US_Sentiment': (1, 2, 3), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,31.0,-311.0325024140616,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1, 2, 3], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3), 'PCE': (1,), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,32.0,-310.99242434371706,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1, 2, 3], PCE:[1], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1, 2, 3), 'PCE': (1,), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,33.0,-310.83550688866694,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1, 2], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1, 2), 'PCE': (1,), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,34.0,-310.75922387740275,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1, 2, 3], PCE:[1, 2, 3], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1, 2, 3), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,35.0,-310.751352992553,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1, 2], PCE:[1], US_Sentiment:[1, 2, 3], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1, 2), 'PCE': (1,), 'US_Sentiment': (1, 2, 3), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,36.0,-310.7163948734575,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1, 2], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2), 'PCE': (1,), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,37.0,-310.6763168031129,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1, 2], PCE:[1], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1, 2), 'PCE': (1,), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,38.0,-310.51939934806285,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1, 2, 3], PCE:[1], US_Sentiment:[1, 2, 3], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1, 2, 3), 'PCE': (1,), 'US_Sentiment': (1, 2, 3), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,39.0,-310.4605102551792,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1, 2], PCE:[1, 2, 3], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1, 2), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,40.0,-310.43524545194884,full_product,full_product
