group,series,nobs,mean,std,ADF_stat,ADF_pvalue,KPSS_stat,KPSS_pvalue,stationarity_decision,Diff1_ADF_stat,Diff1_ADF_pvalue,Diff1_KPSS_stat,Diff1_KPSS_pvalue,diff1_stationarity_decision,Jarque_Bera_stat,Jarque_Bera_pvalue,ARCH_LM_stat,ARCH_LM_pvalue,Ljung_Box_lag12_stat,Ljung_Box_lag12_pvalue
train_VMD2_cached_vmd,wti,251,0.4614753136647571,3.3511856440359287,-3.9479782760917934,0.0017087959671278946,0.17392449268407523,0.1,Stationary,-3.5554042447693393,0.006673120575024896,0.08425309248916807,0.1,Stationary,315.3388631510575,3.349931309702657e-69,238.97093103259112,2.7159253787556863e-44,1059.2691147666521,3.3685747445945844e-219
train_VMD2_cached_vmd,gold,251,0.035655564775526734,6.858939637726207,-5.6324712558469665,1.0816206238042539e-06,0.07038513489655762,0.1,Stationary,-7.466318538736575,5.1931798457363676e-11,0.05004532433104913,0.1,Stationary,156.3605591879652,1.1136173246515316e-34,216.60136212593895,1.2020293811553544e-39,1174.3058939260163,5.901981434545827e-244
train_VMD2_cached_vmd,policy_rate,251,-0.014548026114112506,0.49101014228128925,-6.191611527824064,6.103521130769447e-08,0.027246930923191293,0.1,Stationary,-7.444446932656339,5.888591922134714e-11,0.023901761488218834,0.1,Stationary,10.174263501996712,0.00617570797635801,238.97655865680042,2.708610189035955e-44,1177.8367273184037,1.025168433549172e-244
train_VMD2_cached_vmd,VNINDEX,251,0.041774905424594486,6.456160962106655,-6.121664102121036,8.825211078662617e-08,0.010520092745699688,0.1,Stationary,-5.302972382749353,5.398556029887448e-06,0.005357917637242179,0.1,Stationary,27.82909972562338,9.057071086442306e-07,235.58457168290587,1.3757297312995793e-43,1024.0810499351132,1.2451428250757056e-211
train_VMD2_cached_vmd,NIKKEI225,251,15.599487258343776,569.6841022433869,-6.0961734469258255,1.0088379755197266e-07,0.07334004310886823,0.1,Stationary,-5.413503040717305,3.1728866116893107e-06,0.04005370975689577,0.1,Stationary,50.79514886168783,9.331975092229546e-12,238.9726717077551,2.713660617226943e-44,1046.560769550652,1.823345902914491e-216
train_VMD2_cached_vmd,USDVND,251,11.025915437818286,286.28606200764756,-2.3461430860308323,0.15751728884078264,0.5435216598105705,0.03186449103365528,Non-stationary,-3.0012170625662637,0.03478089815893742,0.2555574141809833,0.1,Stationary,18.283132783243826,0.00010711940708809655,238.99269679358784,2.687741722075488e-44,2283.10414526692,0.0
train_VMD3_cached_vmd,cpi_mom_inflation,251,0.0006564375413398341,0.12539608662646995,-5.430365832243256,2.9236958218302744e-06,0.21066608771881098,0.1,Stationary,-5.995332846731685,1.7069728213665222e-07,0.14178819325782224,0.1,Stationary,17.04605927209336,0.00019883611086505737,222.4047426584784,7.526685846489735e-41,1200.8108988179333,1.1584945984793249e-249
train_VMD3_cached_vmd,broad_money,251,-0.00012568532392271274,0.017494649993823563,-6.752889950340656,2.920625290930755e-09,0.08507959359198228,0.1,Stationary,-9.971204997011162,2.237950592231553e-17,0.10074023799441956,0.1,Stationary,13.151627826638663,0.001393671129133835,184.61977557817733,4.8005572536771395e-33,1038.2979521742782,1.0912845504420323e-214
train_VMD3_cached_vmd,ppi_qoq,251,0.0,0.0,,,,,Mixed/unclear,,,,,Mixed/unclear,,,,,,
train_VMD3_cached_vmd,wti,251,-0.02238714252786042,1.5854690728236651,-5.430302455145458,2.9245957507248586e-06,0.014514778553273268,0.1,Stationary,-8.115400020515974,1.1947546070060204e-12,0.011957974259797513,0.1,Stationary,128.7264378032592,1.1153449198187683e-28,238.38401050095032,3.5980907355012225e-44,1090.9000188803213,5.280271896680611e-226
