component,rank,lag_spec,nobs,AIC,BIC,HQIC,resid_Ljung_Box_lag12_stat,resid_Ljung_Box_lag12_pvalue,resid_ARCH_LM_stat,resid_ARCH_LM_pvalue,resid_Jarque_Bera_stat,resid_Jarque_Bera_pvalue,resid_skewness,resid_kurtosis
VMD1,11,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[6], gold:[6], policy_rate:[6], VNINDEX:[3], NIKKEI225:[6], USDVND:[6]",239,-827.1340164290106,-785.4164538058324,-810.322987099376,978.4316126130433,8.110512775866674e-202,204.806891454593,3.3163198415804607e-37,16.169853461227927,0.0003081491217558966,0.11804385847687583,4.2522034838993354
VMD1,12,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[4], gold:[6], policy_rate:[1], VNINDEX:[3], NIKKEI225:[6], USDVND:[6]",239,-826.8807996645706,-785.1632370413924,-810.069770334936,981.5489796881702,1.7338597669166491e-202,204.78545621428543,3.3503178990238268e-37,16.053010888072194,0.0003266878454575246,0.10112770388121908,4.253439499854469
VMD1,13,"target:[1, 12] | broad_money:[5], ppi_qoq:[1], wti:[6], gold:[6], policy_rate:[1], VNINDEX:[3], NIKKEI225:[6], USDVND:[6]",239,-827.1479614632633,-785.4303988400852,-810.3369321336287,979.4657244008779,4.861641267260041e-202,204.03756251913947,4.782160802425778e-37,17.134141327587873,0.00019026919670421297,0.13783245357175006,4.282416503526892
VMD1,14,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[6], gold:[6], policy_rate:[1], VNINDEX:[3], NIKKEI225:[5], USDVND:[6]",239,-827.2347374653816,-785.5171748422035,-810.423708135747,976.641926730298,1.966555871781297e-201,203.93987931009747,5.009639408052087e-37,17.09433105176399,0.00019409447636280626,0.13491952759458153,4.282096887618729
VMD1,15,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[6], gold:[6], policy_rate:[1], VNINDEX:[3], NIKKEI225:[6], USDVND:[4]",239,-827.3611013319439,-785.6435387087658,-810.5500720023093,974.0090029668319,7.237499537800636e-201,203.8251030230413,5.290780311910477e-37,17.268696211830324,0.0001778894788385534,0.13973385191033288,4.286853845473047
VMD1,16,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[6], gold:[6], policy_rate:[1], VNINDEX:[3], NIKKEI225:[1], USDVND:[6]",239,-827.2058087375304,-785.4882461143523,-810.3947794078958,977.1618005264836,1.520443660923808e-201,204.07596580117087,4.695583351427757e-37,16.98310172794406,0.00020519478402503667,0.1310990973924501,4.279323328854174
VMD2,1,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[1], gold:[1], policy_rate:[1], VNINDEX:[3], NIKKEI225:[4], USDVND:[4]",239,-706.5065099189375,-664.7889472957593,-689.6954805893029,622.1259080969387,1.9913621335968619e-125,191.16798433833884,2.1588343725049787e-34,35.69061452148064,1.7777943792925952e-08,-0.03183765281843816,4.892072995186861
VMD2,2,"target:[1, 12] | broad_money:[6], ppi_qoq:[2], wti:[1], gold:[1], policy_rate:[1], VNINDEX:[3], NIKKEI225:[4], USDVND:[4]",239,-706.5065099189375,-664.7889472957593,-689.6954805893029,622.1259080969387,1.9913621335968619e-125,191.16798433833884,2.1588343725049787e-34,35.69061452148064,1.7777943792925952e-08,-0.03183765281843816,4.892072995186861
VMD2,3,"target:[1, 12] | broad_money:[6], ppi_qoq:[3], wti:[1], gold:[1], policy_rate:[1], VNINDEX:[3], NIKKEI225:[4], USDVND:[4]",239,-706.5065099189375,-664.7889472957593,-689.6954805893029,622.1259080969387,1.9913621335968619e-125,191.16798433833884,2.1588343725049787e-34,35.69061452148064,1.7777943792925952e-08,-0.03183765281843816,4.892072995186861
VMD2,4,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[1], gold:[1], policy_rate:[1], VNINDEX:[3], NIKKEI225:[4], USDVND:[3]",239,-706.5065972901762,-664.7890346669981,-689.6955679605416,622.1276373366242,1.9896686685952148e-125,191.1684873808674,2.1583195385627557e-34,35.69129443715813,1.777190106877074e-08,-0.03219790807167786,4.89206665278416
