date,split,component,actual_raw_transformed,predicted_raw_transformed,actual_level,predicted_level
2022-04-01,validation,raw_no_vmd,0.05095998495557197,-0.10432086308138784,10245295.029999994,8771762.283300009
2022-05-01,validation,raw_no_vmd,-0.056192962400160695,0.01980305627084175,9685458.300000003,10450205.413472367
2022-06-01,validation,raw_no_vmd,0.10061080422327251,-0.16188371324946046,10710626.939999996,8237870.722697313
2022-07-01,validation,raw_no_vmd,-0.030748018348262462,-0.08127473148379137,10386308.020000016,9874559.370449929
2022-08-01,validation,raw_no_vmd,-0.03627443655287266,-0.12168995318633882,10016302.000000007,9196274.432285257
2022-09-01,validation,raw_no_vmd,-0.20427419308441586,0.03161673142377875,8165678.1000000015,10338044.146562217
2022-10-01,validation,raw_no_vmd,0.0049184292646273775,0.002363996435245798,8205939.339999999,8185004.568770947
2022-11-01,validation,raw_no_vmd,-0.04531648223019147,0.025948385664421647,7842374.979999997,8421656.875889
2022-12-01,validation,raw_no_vmd,0.04121610223450389,0.03440904813183933,8172360.759999996,8116919.966475847
2023-01-01,validation,raw_no_vmd,-0.28416508812979835,-0.1625669435456599,6150865.069999998,6946173.124104198
2023-02-01,validation,raw_no_vmd,0.11150233060067194,0.13558451960370746,6876398.660000002,7044007.485556061
2023-03-01,validation,raw_no_vmd,0.11790935446257045,0.09376522231584801,7736925.75,7552361.430666742
2023-04-01,validation,raw_no_vmd,0.018257745621006904,0.036317475219993775,7879481.990000002,8023076.036151078
2023-05-01,validation,raw_no_vmd,-0.026428527548890912,-0.02032212608472102,7673966.5799999945,7720970.266393226
2023-06-01,validation,raw_no_vmd,0.05448237206710793,0.12512816193852574,8103661.600000002,8696857.893758265
