date,split,actual,predicted,pipeline,scale
2022-02-01,test,0.8084639185547483,0.1107178243807337,no_vmd,transformed
2022-03-01,test,-0.2970297029702942,-0.23405599568556648,cached_vmd,transformed
2022-03-01,test,-0.2970297029702942,-0.31298675983402957,no_vmd,transformed
2022-04-01,test,-0.5163853028798371,-0.22690788502364262,cached_vmd,transformed
2022-04-01,test,-0.5163853028798371,-0.23263913890100782,no_vmd,transformed
2022-05-01,test,0.1996406468356844,-0.04183113583581199,cached_vmd,transformed
2022-05-01,test,0.1996406468356844,-0.2827755397916265,no_vmd,transformed
2022-06-01,test,0.3088264594540768,-0.11840443445103921,cached_vmd,transformed
2022-06-01,test,0.3088264594540768,-0.30413718779293264,no_vmd,transformed
2022-07-01,test,-0.288012712285224,0.00019381299892295284,cached_vmd,transformed
2022-07-01,test,-0.288012712285224,-0.19748118869325193,no_vmd,transformed
2022-08-01,test,-0.3984063745019977,0.16111773494086873,cached_vmd,transformed
2022-08-01,test,-0.3984063745019977,-0.4316989004401194,no_vmd,transformed
2022-09-01,test,0.4000000000000056,-0.30837780008167126,cached_vmd,transformed
2022-09-01,test,0.4000000000000056,-0.42133299743254193,no_vmd,transformed
2022-10-01,test,-0.249003984063745,-0.07086716133635482,cached_vmd,transformed
2022-10-01,test,-0.249003984063745,-0.19155270171929956,no_vmd,transformed
2022-11-01,test,0.239640539191208,0.08959697826336643,cached_vmd,transformed
2022-11-01,test,0.239640539191208,-0.05663364664827432,no_vmd,transformed
2022-12-01,test,-0.3984460603645838,-0.043661960503591564,cached_vmd,transformed
2022-12-01,test,-0.3984460603645838,0.05178559693259217,no_vmd,transformed
2023-01-01,test,-0.0696378830083497,0.058945165726028405,cached_vmd,transformed
2023-01-01,test,-0.0696378830083497,-0.09437280023798364,no_vmd,transformed
2023-02-01,test,-0.0696378830083497,0.2514316507518745,cached_vmd,transformed
2023-02-01,test,-0.0696378830083497,-0.1679524465500351,no_vmd,transformed
2023-03-01,test,-0.6769537083126,-0.046559376302487944,cached_vmd,transformed
2023-03-01,test,-0.6769537083126,-0.25584864523137696,no_vmd,transformed
2023-04-01,test,-0.1102535832414547,-0.12936500878574578,cached_vmd,transformed
2023-04-01,test,-0.1102535832414547,-0.26604692300236743,no_vmd,transformed
2023-05-01,test,0.3511940598033399,-0.011538804899216944,cached_vmd,transformed
2023-05-01,test,0.3511940598033399,-0.4415368131562958,no_vmd,transformed
2023-06-01,test,0.2599740025997309,0.05564716766608763,cached_vmd,transformed
2023-06-01,test,0.2599740025997309,-0.3203201035931663,no_vmd,transformed
